ID,Title,Play,Year,Directors,Medium,Country,Faithful?,IMDb Rating, BoxOffice , Budget ,URL,New Time Period?,Reviewers
381,Richard II,Richard II,1997,Deborah Warner,TV,UK,Yes,8,,,https://www.imdb.com/title/tt0120016/,Yes,103
382,Richard the Second,Richard II,2001,John Farrell,Video,US,Yes,4.8,,,https://www.imdb.com/title/tt0291447/?ref_=nv_sr_srsg_1_tt_7_nm_1_q_richard%2520the%2520second,No,25
383,"Richard II
(The Hollow Crown)",Richard II,2012,Rupert Goold,TV,UK,Yes,8.1,,,https://www.imdb.com/title/tt1978517/?ref_=ttep_ep1,No,1800
384,Richard III,Richard III,1912,"André Calmettes
James Keane",Film,US,Yes,5.7,," $ 30,000.00 ",https://www.imdb.com/title/tt0002461/?ref_=nv_sr_srsg_0_tt_1_nm_0_q_richard%2520III%25201912,No,309
385,Tower of London,Richard III,1939,Rowland V. Lee,Film,US,No,6.6,,,https://www.imdb.com/title/tt0032049/?ref_=nv_sr_srsg_2_tt_8_nm_0_q_tower%2520of%2520london,Yes,2200
386,Richard III,Richard III,1955,Laurence Olivier,Film,UK,Yes,7.4,2600000," $ 2,000,000.00 ",https://www.imdb.com/title/tt0049674/?ref_=nv_sr_srsg_2_tt_6_nm_2_q_richard%2520III,No,5100
387,"Richard III: The Dangerous Brother
(An Age of Kings)",Richard III,1960,Michael Hayes,TV,UK,Yes,8.8,,,https://www.imdb.com/title/tt1312270/?ref_=tt_ep_pr,No,20
388,"Richard III: The Boar Hunt
(An Age of Kings)",Richard III,1960,Michael Hayes,TV,UK,Yes,8.7,,,https://www.imdb.com/title/tt1312271/,No,18
389,Tower of London,Richard III,1962,Roger Corman,Film,US,No,6.3,," $ 200,000.00 ",https://www.imdb.com/title/tt0056606/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_tower%2520of%2520london,Yes,2500
390,"Richard III
(The Wars of the Roses)",Richard III,1965,"John Barton
Peter Hall",TV,UK,Yes,,,,https://www.imdb.com/title/tt17766524/?ref_=fn_al_tt_1,No,0
391,The Goodbye Girl,Richard III,1977,Herbert Ross,Film,US,No,7.4,102000000,,https://www.imdb.com/title/tt0076095/,Yes,16000
392,"The Tragedy of Richard III
(BBC Television Shakespeare)",Richard III,1983,Jane Howell,TV,UK,Yes,8.2,,,https://www.imdb.com/title/tt0086193/?ref_=nv_sr_srsg_0_tt_4_nm_4_q_the%2520tragedy%2520of%2520richard%2520III,No,226
393,The Black Adder,Richard III,1983,Martin Shardlow,TV,UK,No,8,,,https://www.imdb.com/title/tt0084988/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_the%2520black%2520adder,No,40000
394,"Richard III
(The War of the Roses)",Richard III,1990,"Michael Bogdanov
Michael Pennington",Video,UK,Yes,,,,,No,0
395,"King Richard III
(Shakespeare: The Animated Tales)",Richard III,1994,Natalia Orlova,TV,Russia,Yes,7.9,,,https://www.imdb.com/title/tt0762489/?ref_=ttep_ep1,No,51
